"station_id","stationname","date","daytype","rides"
40350,"UIC-Halsted","06/01/2018","W",3299
40890,"O'Hare Airport","05/28/2018","U",13242
41300,"Loyola","06/09/2018","A",3497
40350,"UIC-Halsted","06/29/2018","W",3668
40350,"UIC-Halsted","06/26/2018","W",3805
40890,"O'Hare Airport","05/02/2018","W",9138
40890,"O'Hare Airport","04/07/2018","A",8073
41300,"Loyola","04/23/2018","W",4977
41300,"Loyola","06/19/2018","W",4782
40890,"O'Hare Airport","06/14/2018","W",12583
41300,"Loyola","06/26/2018","W",4492
40350,"UIC-Halsted","06/18/2018","W",3424
41300,"Loyola","05/01/2018","W",5357
40350,"UIC-Halsted","05/17/2018","W",3311
40350,"UIC-Halsted","05/05/2018","A",2132
40890,"O'Hare Airport","04/15/2018","U",9336
40350,"UIC-Halsted","04/18/2018","W",7326
40890,"O'Hare Airport","04/04/2018","W",10347
40890,"O'Hare Airport","04/12/2018","W",11322
41300,"Loyola","05/20/2018","U",2319
40890,"O'Hare Airport","06/04/2018","W",11867
40890,"O'Hare Airport","04/20/2018","W",12285
41300,"Loyola","06/27/2018","W",4663
40350,"UIC-Halsted","06/16/2018","A",1666
40350,"UIC-Halsted","05/25/2018","W",3226
40890,"O'Hare Airport","05/05/2018","A",9393
41300,"Loyola","06/14/2018","W",4660
41300,"Loyola","06/10/2018","U",2540
41300,"Loyola","06/30/2018","A",3703
40890,"O'Hare Airport","05/10/2018","W",13104
40350,"UIC-Halsted","06/25/2018","W",3638
40890,"O'Hare Airport","06/17/2018","U",11537
40890,"O'Hare Airport","06/21/2018","W",11981
41300,"Loyola","04/09/2018","W",5040
40350,"UIC-Halsted","05/08/2018","W",5311
40350,"UIC-Halsted","04/03/2018","W",6800
40350,"UIC-Halsted","06/28/2018","W",3938
40350,"UIC-Halsted","05/03/2018","W",6718
40890,"O'Hare Airport","06/30/2018","A",9859
40350,"UIC-Halsted","06/10/2018","U",1138
40890,"O'Hare Airport","05/17/2018","W",12886
40350,"UIC-Halsted","05/22/2018","W",3446
41300,"Loyola","06/17/2018","U",2629
41300,"Loyola","04/25/2018","W",5252
40890,"O'Hare Airport","05/20/2018","U",10914
40890,"O'Hare Airport","04/22/2018","U",10393
40350,"UIC-Halsted","04/02/2018","W",6749
40890,"O'Hare Airport","06/05/2018","W",12002
40350,"UIC-Halsted","05/30/2018","W",3237
40890,"O'Hare Airport","05/09/2018","W",10522
40350,"UIC-Halsted","04/23/2018","W",6887
40350,"UIC-Halsted","04/17/2018","W",7098
40350,"UIC-Halsted","04/01/2018","U",1075
40350,"UIC-Halsted","05/19/2018","A",1442
41300,"Loyola","06/12/2018","W",4637
40890,"O'Hare Airport","06/07/2018","W",13857
40350,"UIC-Halsted","04/10/2018","W",7105
40890,"O'Hare Airport","06/11/2018","W",12978
40350,"UIC-Halsted","04/13/2018","W",6840
41300,"Loyola","05/05/2018","A",4424
41300,"Loyola","05/22/2018","W",4529
41300,"Loyola","06/13/2018","W",4787
40890,"O'Hare Airport","04/16/2018","W",10616
41300,"Loyola","05/31/2018","W",4442
